File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
OracleManager.java,604,112,2,0,1,1,0.1111111111111111,83.37931034482759,146.32539782636778,1
ConfigurationHelper.java,88,19,2,0,2,1,0.1111111111111111,131.7793103448276,195.85991600345318,1
JobStorageFactory.java,30,5,1,0,1,1,0.05555555555555555,48.400000000000006,49.53451817708541,1
SqoopTool.java,279,54,1,0,1,1,0.05555555555555555,48.400000000000006,49.53451817708541,1
CombineShimRecordReader.java,81,11,1,1,1,1,0.05555555555555555,83.37931034482759,146.32539782636778,1
DBInputFormat.java,219,41,2,1,2,1,0.1111111111111111,228.2126436781609,296.62153855255895,1
DBOutputFormat.java,152,29,2,1,2,1,0.1111111111111111,228.2126436781609,296.62153855255895,1
DBRecordReader.java,209,47,4,2,3,1,0.2222222222222222,276.6126436781609,346.1560567296444,1
DataDrivenDBInputFormat.java,213,48,1,1,1,1,0.05555555555555555,83.37931034482759,146.32539782636778,1
DataDrivenDBRecordReader.java,71,11,2,1,2,1,0.1111111111111111,228.2126436781609,296.62153855255895,1
OracleDBRecordReader.java,92,16,2,1,2,1,0.1111111111111111,228.2126436781609,296.62153855255895,1
OracleDataDrivenDBInputFormat.java,43,6,1,1,1,1,0.05555555555555555,83.37931034482759,146.32539782636778,1
OracleDataDrivenDBRecordReader.java,20,1,1,1,1,1,0.05555555555555555,83.37931034482759,146.32539782636778,1
SqoopRecord.java,72,9,1,0,1,1,0.05555555555555555,83.37931034482759,146.32539782636778,1
