File,loc,cyclomatic_Complexity,number_of_Changes,number_of_past_faults,number_of_developers,change_burst,change_entropy,structural_scattering,semantic_scattering,is_buggy
ConnManager.java,374,118,1,0,1,1,0.043478260869565216,51.42857142857142,109.91765499938094,0
OraOopConnManager.java,401,99,1,0,1,1,0.043478260869565216,51.42857142857142,109.91765499938094,0
ExportJobBase.java,365,81,1,1,1,1,0.043478260869565216,51.42857142857142,109.91765499938094,0
ImportJobBase.java,219,46,2,1,2,1,0.08695652173913043,153.95488721804512,241.7553431768151,1
BaseSqoopTool.java,1349,231,3,0,3,1,0.13043478260869565,333.9548872180451,380.0624563529509,1
ConnFactory.java,191,33,2,1,2,1,0.08695652173913043,102.5263157894737,131.83768817743416,0
DataDrivenImportJob.java,230,43,2,0,1,1,0.08695652173913043,102.5263157894737,131.83768817743416,0
SqoopHCatUtilities.java,1162,284,2,0,2,1,0.08695652173913043,282.5263157894737,270.14480135356996,0
TestHCatalogBasic.java,272,30,1,0,1,1,0.043478260869565216,102.5263157894737,131.83768817743416,0
